File,Result
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_netdev.o:from-netdev, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_overlay.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_overlay.o:2/3, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_overlay.o:2/5, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_overlay.o:2/4, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_overlay.o:2/7, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_overlay.o:from-overlay, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp.o:from-netdev,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/21, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/16, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/18, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/24, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/20, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/15, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/17, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/19, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/7, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:2/10, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux.o:from-netdev, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/21, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/16, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/18, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/24, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/20, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/15, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/17, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/19, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/7, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:2/10, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1.o:from-netdev, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/21, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/16, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/18, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/24, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/20, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/15, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/17, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/19, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/7, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:2/10, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_dsr_linux_v1_1.o:from-netdev, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux.o:2/16, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux.o:2/18, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux.o:2/24, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux.o:2/15, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux.o:2/17, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux.o:2/19, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux.o:2/7, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux.o:2/10, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux.o:from-netdev, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux_v1.o:2/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux_v1.o:2/16, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux_v1.o:2/18, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux_v1.o:2/24, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux_v1.o:2/15, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux_v1.o:2/17, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux_v1.o:2/19, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux_v1.o:2/7, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux_v1.o:2/10, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/cilium/bpf_xdp_snat_linux_v1.o:from-netdev, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/invalid/invalid-lddw.o:.text, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/cpustat_kern.o:tracepoint/power/cpu_idle, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/cpustat_kern.o:tracepoint/power/cpu_frequency, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/lathist_kern.o:kprobe/trace_preempt_off, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/lathist_kern.o:kprobe/trace_preempt_on, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/lwt_len_hist_kern.o:len_hist, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/map_perf_test_kern.o:kprobe/sys_getuid, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/map_perf_test_kern.o:kprobe/sys_geteuid, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/map_perf_test_kern.o:kprobe/sys_getgid, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/map_perf_test_kern.o:kprobe/sys_getegid, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/map_perf_test_kern.o:kprobe/sys_connect, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/map_perf_test_kern.o:kprobe/sys_gettid,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/map_perf_test_kern.o:kprobe/sys_getpgid,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/map_perf_test_kern.o:kprobe/sys_getppid,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/offwaketime_kern.o:kprobe/try_to_wake_up, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/offwaketime_kern.o:tracepoint/sched/sched_switch, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/sampleip_kern.o:perf_event,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/sock_flags_kern.o:cgroup/sock1, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/sock_flags_kern.o:cgroup/sock2, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/sockex1_kern.o:socket1, unsafe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/sockex2_kern.o:socket2, error: llvm dialect conversion failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/sockex3_kern.o:socket/3, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/sockex3_kern.o:socket/4, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/sockex3_kern.o:socket/1,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/sockex3_kern.o:socket/2,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/sockex3_kern.o:socket/0,safe
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/spin_unlock, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/spin_lock, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/mutex_spin_on_owner, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/rwsem_spin_on_owner, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/spin_unlock_irqrestore, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/_raw_spin_unlock_irqrestore, error: translation failed
/Users/jetafese/Documents/code/btor2mlir/prevail/ebpf-samples/linux/spintest_kern.o:kprobe/_raw_spin_unlock_bh, error: translation failed
