File,Result,trivial,seahorn_time,total
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/exposeptr.o:.text,1,0,BRUNCH_STAT seahorn_total 0.03,0.42user 0.14system 0:00.56elapsed 100%CPU (0avgtext+0avgdata 91784maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/loop.o:test_md,1,0,BRUNCH_STAT seahorn_total 0.07,0.92user 0.18system 0:01.10elapsed 100%CPU (0avgtext+0avgdata 93068maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/map_in_map_anonymous.o:.text,1,0,BRUNCH_STAT seahorn_total 0.03,0.41user 0.16system 0:00.57elapsed 100%CPU (0avgtext+0avgdata 91536maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/map_in_map_legacy.o:.text,1,0,BRUNCH_STAT seahorn_total 0.03,0.42user 0.15system 0:00.58elapsed 100%CPU (0avgtext+0avgdata 91744maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/map_in_map.o:.text,1,0,BRUNCH_STAT seahorn_total 0.04,0.38user 0.19system 0:00.57elapsed 100%CPU (0avgtext+0avgdata 91272maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/map_in_map_typedef.o:.text,1,0,BRUNCH_STAT seahorn_total 0.03,0.44user 0.16system 0:00.61elapsed 100%CPU (0avgtext+0avgdata 91200maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/mapoverflow.o:.text,1,0,BRUNCH_STAT seahorn_total 0.02,0.42user 0.14system 0:00.56elapsed 100%CPU (0avgtext+0avgdata 91704maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/mapunderflow.o:.text,1,0,BRUNCH_STAT seahorn_total 0.02,0.42user 0.14system 0:00.56elapsed 100%CPU (0avgtext+0avgdata 91656maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/mapvalue-overrun.o:.text,0,0,BRUNCH_STAT seahorn_total 0.04,0.42user 0.17system 0:00.59elapsed 100%CPU (0avgtext+0avgdata 101172maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/nullmapref.o:test,1,0,BRUNCH_STAT seahorn_total 0.04,0.39user 0.15system 0:00.55elapsed 100%CPU (0avgtext+0avgdata 91692maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/packet_access.o:xdp,1,0,BRUNCH_STAT seahorn_total 0.07,0.55user 0.12system 0:00.67elapsed 100%CPU (0avgtext+0avgdata 96768maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/packet_overflow.o:xdp,1,0,BRUNCH_STAT seahorn_total 0.10,0.48user 0.15system 0:00.63elapsed 100%CPU (0avgtext+0avgdata 97300maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/packet_reallocate.o:socket_filter,0,0,BRUNCH_STAT seahorn_total 0.06,0.45user 0.17system 0:00.63elapsed 100%CPU (0avgtext+0avgdata 97156maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/packet_start_ok.o:xdp,1,0,BRUNCH_STAT seahorn_total 0.07,0.46user 0.15system 0:00.61elapsed 100%CPU (0avgtext+0avgdata 97124maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/prog_array.o:.text,error: translation failed,,,0.12user 0.03system 0:00.26elapsed 58%CPU (0avgtext+0avgdata 89396maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/ringbuf_uninit.o:.text,1,1,BRUNCH_STAT seahorn_total 0.01,0.35user 0.14system 0:00.49elapsed 100%CPU (0avgtext+0avgdata 89364maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/stackok.o:.text,1,0,BRUNCH_STAT seahorn_total 0.06,0.67user 0.15system 0:00.82elapsed 100%CPU (0avgtext+0avgdata 92056maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/tail_call_bad.o:xdp_prog,1,1,BRUNCH_STAT seahorn_total 0.01,0.37user 0.11system 0:00.49elapsed 100%CPU (0avgtext+0avgdata 89632maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/tail_call_bad.o:xdp_prog/0,1,1,BRUNCH_STAT seahorn_total 0.01,0.36user 0.13system 0:00.48elapsed 100%CPU (0avgtext+0avgdata 89420maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/tail_call.o:xdp_prog,1,1,BRUNCH_STAT seahorn_total 0.01,0.36user 0.13system 0:00.49elapsed 100%CPU (0avgtext+0avgdata 89228maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/tail_call.o:xdp_prog/0,1,1,BRUNCH_STAT seahorn_total 0.01,0.37user 0.11system 0:00.48elapsed 100%CPU (0avgtext+0avgdata 89636maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/twomaps_btf.o:.text,0,0,BRUNCH_STAT seahorn_total 0.04,0.46user 0.15system 0:00.61elapsed 100%CPU (0avgtext+0avgdata 100660maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/twomaps.o:.text,0,0,BRUNCH_STAT seahorn_total 0.04,0.44user 0.17system 0:00.61elapsed 100%CPU (0avgtext+0avgdata 100824maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/twostackvars.o:.text,0,0,BRUNCH_STAT seahorn_total 0.08,0.67user 0.18system 0:00.85elapsed 100%CPU (0avgtext+0avgdata 101032maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/twotypes.o:.text,0,0,BRUNCH_STAT seahorn_total 0.06,0.47user 0.16system 0:00.63elapsed 100%CPU (0avgtext+0avgdata 101124maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/build/wronghelper.o:xdp,error: translation failed,,,0.00user 0.01system 0:00.02elapsed 100%CPU (0avgtext+0avgdata 52968maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lb.o:2/1,1,0,BRUNCH_STAT seahorn_total 0.05,0.57user 0.15system 0:00.71elapsed 100%CPU (0avgtext+0avgdata 92844maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lb.o:from-netdev,0,0,BRUNCH_STAT seahorn_total 0.18,1.31user 0.21system 0:01.52elapsed 100%CPU (0avgtext+0avgdata 98156maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/1,1,0,BRUNCH_STAT seahorn_total 0.06,0.57user 0.14system 0:00.71elapsed 100%CPU (0avgtext+0avgdata 92700maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/3,0,0,BRUNCH_STAT seahorn_total 0.15,1.06user 0.26system 0:01.32elapsed 100%CPU (0avgtext+0avgdata 101832maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/5,0,0,BRUNCH_STAT seahorn_total 0.51,2.12user 0.26system 0:02.39elapsed 100%CPU (0avgtext+0avgdata 103524maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/4,0,0,BRUNCH_STAT seahorn_total 0.27,1.30user 0.26system 0:01.57elapsed 100%CPU (0avgtext+0avgdata 112332maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/10,error: to llvm dialect conversion failed,,,0.33user 0.20system 0:00.53elapsed 100%CPU (0avgtext+0avgdata 72752maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/7,error: seahorn timeout,,,12.32user 0.32system 0:15.81elapsed 79%CPU (0avgtext+0avgdata 96480maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/6,0,0,BRUNCH_STAT seahorn_total 0.11,1.06user 0.26system 0:01.32elapsed 100%CPU (0avgtext+0avgdata 96860maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:from-container,0,0,BRUNCH_STAT seahorn_total 0.08,0.66user 0.17system 0:00.84elapsed 100%CPU (0avgtext+0avgdata 101740maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/12,0,0,BRUNCH_STAT seahorn_total 2.54,8.72user 0.59system 0:09.31elapsed 100%CPU (0avgtext+0avgdata 116544maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/11,0,0,BRUNCH_STAT seahorn_total 2.32,8.39user 0.64system 0:09.03elapsed 100%CPU (0avgtext+0avgdata 107996maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:1/0x1010,0,0,BRUNCH_STAT seahorn_total 0.09,0.68user 0.18system 0:00.85elapsed 100%CPU (0avgtext+0avgdata 101988maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/8,0,0,BRUNCH_STAT seahorn_total 4.39,5.84user 0.31system 0:06.15elapsed 100%CPU (0avgtext+0avgdata 119796maxresident)k
/home/jetafese/btor2mlir/prevail/ebpf-samples/cilium/bpf_lxc.o:2/9,0,0,BRUNCH_STAT seahorn_total 0.20,1.48user 0.27system 0:01.76elapsed 100%CPU (0avgtext+0avgdata 99360maxresident)k
